Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,1,4,2,0,1,0,0,0,0,0,0,0,0,4,1,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,5,0,0,4,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,2,1,0,0,1,0,1,1,0,0,0,0,3,6,2,1,0,2,0,0,0,0,0,1,0,3,0,1,2,1,1,0,0,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,9,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,2,1,1,3,2,0,3,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,2,1,3,0,0,0,0,1,3,0,2,1,1,0,0,1,3,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1,0,1,0,3,0,2,1,2,1,0,3,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,2,0,0,4,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
3,3,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,-1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,0,0,3,1,0,0,2,1,0,0,0,1,0,2,1,0,3,0,1,0,0,1,1,1,0,0,1,0,1,3,0,2,0,2,0,0,3,0,2,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,0,1,1,2,0,0,3,1,0,2,2,1,2,1,0,2,2,2,2,0,3,1,1,0,0,0,1,0,2,1,1,1,1,3,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,2,1,1,2,1,1,1,0,1,2,1,2,1,2,0,1,1,1,0,3,1,1,0,0,0,2,2,2,0,1,1,1,2,0,0,1,1,1,2,0,1,0,1,2,0,1,1,2,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,1,0,0,0,0,2,2,0,0,2,0,1,2,2,0,1,3,2,0,3,3,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,2,3,0,0,0,0,2,3,0,3,2,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,1,2,0,0,0,0,0,3,1,0,1,0,0,0,4,0,0,0,2,1,2,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,0,2,0,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1
3,2,0,0,1,0,0,3,0,0,0,0,2,0,1,0,2,2,0,0,2,2,0,2,0,2,0,2,0,0,1,0,2,2,0,0,2,1,0,2,2,2,0,0,0,0,2,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
1,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,4,4,0,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,2,3,0,2,0,0,0,0,2,0,2,3,0,0,3,2,0,2,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0
1,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,1,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
