round,voting_rule,max_vev
1,majoritarian_moving_phantoms,4.317495695239934
1,r1_quadratic,2.0321207370977485
1,r2_mean,5.900653879980576
1,r3_median,3.1632681979459463
1,r4_capped_median,3.2729736808446166
2,majoritarian_moving_phantoms,2.958973559637669
2,r1_quadratic,2.1056053132666372
2,r2_mean,5.92840032235883
2,r3_median,4.007640195033404
2,r4_capped_median,3.5920201280360597
3,majoritarian_moving_phantoms,3.558967839023545
3,r1_quadratic,2.0710229774414275
3,r2_mean,5.917047112213967
3,r3_median,2.5503958419983146
3,r4_capped_median,2.2638438993650656
4,majoritarian_moving_phantoms,4.7089449785983675
4,r1_quadratic,2.024146181347467
4,r2_mean,5.929431026824766
4,r3_median,3.23557639405848
4,r4_capped_median,3.0118175847403132
5,majoritarian_moving_phantoms,3.51417529564337
5,r1_quadratic,1.9978258806453206
5,r2_mean,5.914206011512956
5,r3_median,2.4868889391344227
5,r4_capped_median,2.643336424921466
6,majoritarian_moving_phantoms,3.253863208266372
6,r1_quadratic,1.9439968352715509
6,r2_mean,5.845171085415375
6,r3_median,2.060900009976024
6,r4_capped_median,2.136727960117354
7,majoritarian_moving_phantoms,3.311094548795504
7,r1_quadratic,2.0476946459840146
7,r2_mean,5.862152437817362
7,r3_median,2.569985429980422
7,r4_capped_median,2.56136612471576
8,majoritarian_moving_phantoms,2.9596033381186424
8,r1_quadratic,2.0900540276363446
8,r2_mean,5.9271202764649065
8,r3_median,3.2240351643129768
8,r4_capped_median,3.2550823253758945
9,majoritarian_moving_phantoms,2.6374106182424217
9,r1_quadratic,1.9717139739077603
9,r2_mean,5.874648887595806
9,r3_median,3.671967791260316
9,r4_capped_median,3.718137719729534
10,majoritarian_moving_phantoms,1.937869036919237
10,r1_quadratic,2.0400261856314144
10,r2_mean,5.916603061749251
10,r3_median,2.321250297882414
10,r4_capped_median,2.4283816672082943
11,majoritarian_moving_phantoms,3.2707803837053238
11,r1_quadratic,2.0910625320758376
11,r2_mean,5.905407404974286
11,r3_median,2.672703021886203
11,r4_capped_median,2.823446223820262
12,majoritarian_moving_phantoms,3.209401930565309
12,r1_quadratic,2.130915030064642
12,r2_mean,5.914007645796124
12,r3_median,2.518292723829733
12,r4_capped_median,2.5911515449286036
13,majoritarian_moving_phantoms,2.904444765171846
13,r1_quadratic,1.9556363038076068
13,r2_mean,5.884158550840222
13,r3_median,2.8098228519668225
13,r4_capped_median,2.7946887458153546
14,majoritarian_moving_phantoms,3.5462258036671956
14,r1_quadratic,2.1120063285555886
14,r2_mean,5.925456226533913
14,r3_median,4.620268634181005
14,r4_capped_median,4.604873004503785
15,majoritarian_moving_phantoms,2.819471711725913
15,r1_quadratic,2.04367682194436
15,r2_mean,5.8857472467987115
15,r3_median,2.80384071413321
15,r4_capped_median,2.795542051221368
16,majoritarian_moving_phantoms,2.207688913699415
16,r1_quadratic,2.0314584633218886
16,r2_mean,5.908990485986974
16,r3_median,2.9512399325181673
16,r4_capped_median,2.61739891621167
17,majoritarian_moving_phantoms,3.600539826722837
17,r1_quadratic,2.067346292549754
17,r2_mean,5.9057732387248825
17,r3_median,2.949008074592358
17,r4_capped_median,3.3902223001971024
18,majoritarian_moving_phantoms,4.22118336535582
18,r1_quadratic,2.1388110586511324
18,r2_mean,5.9190223144778695
18,r3_median,3.5822104410755458
18,r4_capped_median,2.7769316210341395
19,majoritarian_moving_phantoms,2.7686728158971716
19,r1_quadratic,2.0810311669569916
19,r2_mean,5.912236826772482
19,r3_median,2.3784880892580986
19,r4_capped_median,2.510336010967019
20,majoritarian_moving_phantoms,2.847077470055871
20,r1_quadratic,2.171135683235727
20,r2_mean,5.927715612332724
20,r3_median,2.726121955650201
20,r4_capped_median,2.9915051100534717
21,majoritarian_moving_phantoms,4.497212164092856
21,r1_quadratic,2.058954236584105
21,r2_mean,5.898081527307898
21,r3_median,2.9458816223526787
21,r4_capped_median,2.5120538954902503
22,majoritarian_moving_phantoms,4.790195436630175
22,r1_quadratic,2.1273473431857415
22,r2_mean,5.9350026484594975
22,r3_median,2.4288668253842376
22,r4_capped_median,2.928197981500502
23,majoritarian_moving_phantoms,3.3708375321495296
23,r1_quadratic,2.0524329746683847
23,r2_mean,5.858525141393164
23,r3_median,3.297232507539648
23,r4_capped_median,3.4710921625571585
24,majoritarian_moving_phantoms,4.604143382679507
24,r1_quadratic,2.0556393545281932
24,r2_mean,5.905670211896863
24,r3_median,3.5764353982935413
24,r4_capped_median,3.293161330837239
25,majoritarian_moving_phantoms,3.9957072403263902
25,r1_quadratic,2.0542294254176485
25,r2_mean,5.894721264772235
25,r3_median,3.608511977008207
25,r4_capped_median,3.664502903202024
26,majoritarian_moving_phantoms,4.763001501165217
26,r1_quadratic,1.9291415749679797
26,r2_mean,5.863860857394117
26,r3_median,2.9424603420121764
26,r4_capped_median,2.405367192639428
27,majoritarian_moving_phantoms,3.2366334671090873
27,r1_quadratic,2.0021663022808047
27,r2_mean,5.8872350438704775
27,r3_median,3.259935782823202
27,r4_capped_median,3.3910949345856602
28,majoritarian_moving_phantoms,2.7150838181330803
28,r1_quadratic,2.014355265106194
28,r2_mean,5.876447522429158
28,r3_median,2.8146979148296465
28,r4_capped_median,3.111746627946429
29,majoritarian_moving_phantoms,4.313077965057694
29,r1_quadratic,2.1842735523671544
29,r2_mean,5.931453564986638
29,r3_median,2.717044454569713
29,r4_capped_median,3.1827246486051175
30,majoritarian_moving_phantoms,2.635375297194057
30,r1_quadratic,2.009571295800974
30,r2_mean,5.888398566677658
30,r3_median,2.6269406380932843
30,r4_capped_median,2.21590688383068
31,majoritarian_moving_phantoms,2.7752943674425192
31,r1_quadratic,2.0367203761248716
31,r2_mean,5.874538924416957
31,r3_median,2.386566038348181
31,r4_capped_median,2.4118102155535914
32,majoritarian_moving_phantoms,2.4506903829740776
32,r1_quadratic,2.1895622412130713
32,r2_mean,5.922881803747486
32,r3_median,2.98556309751754
32,r4_capped_median,3.376431671345041
33,majoritarian_moving_phantoms,3.744776291294355
33,r1_quadratic,2.0654789393156956
33,r2_mean,5.92493979243536
33,r3_median,3.0943088847401534
33,r4_capped_median,2.496373880064903
34,majoritarian_moving_phantoms,3.785855898866127
34,r1_quadratic,2.1120813260118942
34,r2_mean,5.931686085808977
34,r3_median,2.319753451215375
34,r4_capped_median,2.131595015070736
35,majoritarian_moving_phantoms,2.7903256571442325
35,r1_quadratic,2.0797115814594362
35,r2_mean,5.92155926601639
35,r3_median,3.344592816732816
35,r4_capped_median,2.525431537615188
36,majoritarian_moving_phantoms,3.377910226428707
36,r1_quadratic,2.0866575309746582
36,r2_mean,5.927896054917208
36,r3_median,2.143073585671398
36,r4_capped_median,2.1297383523522946
37,majoritarian_moving_phantoms,3.3617808537460223
37,r1_quadratic,1.9831659987241352
37,r2_mean,5.903776040284171
37,r3_median,3.616739690862005
37,r4_capped_median,3.5503762446635396
38,majoritarian_moving_phantoms,4.105393852856908
38,r1_quadratic,2.0985895908632344
38,r2_mean,5.912807580794718
38,r3_median,3.255288494371307
38,r4_capped_median,3.5193409957271524
39,majoritarian_moving_phantoms,3.091625603494033
39,r1_quadratic,1.9749107600827744
39,r2_mean,5.848188663835035
39,r3_median,3.114310664350128
39,r4_capped_median,2.7252376325734984
40,majoritarian_moving_phantoms,3.4041708746334134
40,r1_quadratic,2.1117902096647225
40,r2_mean,5.9230964437731375
40,r3_median,3.1831215179080052
40,r4_capped_median,3.420367884730484
41,majoritarian_moving_phantoms,4.680301957449944
41,r1_quadratic,1.989482785632802
41,r2_mean,5.901839686226258
41,r3_median,4.379973616300352
41,r4_capped_median,2.824976117636594
42,majoritarian_moving_phantoms,3.9163731914840705
42,r1_quadratic,1.957533784706884
42,r2_mean,5.861173041804736
42,r3_median,1.95395677926286
42,r4_capped_median,2.0541578585100835
43,majoritarian_moving_phantoms,2.7532390119208636
43,r1_quadratic,2.0559126271558794
43,r2_mean,5.910742711349511
43,r3_median,2.757106475163886
43,r4_capped_median,2.4440119226448274
44,majoritarian_moving_phantoms,3.8783328718799606
44,r1_quadratic,2.027394598139234
44,r2_mean,5.915787593625644
44,r3_median,2.208392146384985
44,r4_capped_median,2.051870455349378
45,majoritarian_moving_phantoms,3.1866731220641435
45,r1_quadratic,2.019852879514374
45,r2_mean,5.8761922867947805
45,r3_median,3.1536837294203184
45,r4_capped_median,2.70193188339976
46,majoritarian_moving_phantoms,2.9339382744318128
46,r1_quadratic,1.9889896423785733
46,r2_mean,5.8915440680009
46,r3_median,2.904527243648762
46,r4_capped_median,2.9164991800648297
47,majoritarian_moving_phantoms,2.3429373468148627
47,r1_quadratic,2.0831782954361246
47,r2_mean,5.907019379806316
47,r3_median,1.9383727561073432
47,r4_capped_median,2.0450601507221657
48,majoritarian_moving_phantoms,2.4883176624105436
48,r1_quadratic,2.1161939096224955
48,r2_mean,5.92617518209771
48,r3_median,2.7734963391662952
48,r4_capped_median,3.214720577397851
49,majoritarian_moving_phantoms,3.758288775084944
49,r1_quadratic,1.9135097918391248
49,r2_mean,5.831881669307949
49,r3_median,2.4421676324666635
49,r4_capped_median,1.9454030968479024
50,majoritarian_moving_phantoms,3.91022517754951
50,r1_quadratic,2.1675951903059496
50,r2_mean,5.916174782876917
50,r3_median,3.828997108461666
50,r4_capped_median,3.559708803064753
51,majoritarian_moving_phantoms,3.4710403644940095
51,r1_quadratic,1.995623630932182
51,r2_mean,5.8580645732966365
51,r3_median,4.834996021512448
51,r4_capped_median,4.483418686777608
52,majoritarian_moving_phantoms,3.4718818451229794
52,r1_quadratic,2.2070994742662813
52,r2_mean,5.9223699883748635
52,r3_median,2.1791285232186537
52,r4_capped_median,2.285535989850464
53,majoritarian_moving_phantoms,3.8234911913313883
53,r1_quadratic,2.02997732718298
53,r2_mean,5.871317301751342
53,r3_median,2.340689252756847
53,r4_capped_median,2.5367298674601
54,majoritarian_moving_phantoms,3.154067177206041
54,r1_quadratic,2.0206512289314675
54,r2_mean,5.927458757781231
54,r3_median,2.5257158213640984
54,r4_capped_median,2.759311677012351
55,majoritarian_moving_phantoms,2.9008248136595234
55,r1_quadratic,2.2162569620598362
55,r2_mean,5.919656563467343
55,r3_median,4.110882430480931
55,r4_capped_median,4.575295198779914
56,majoritarian_moving_phantoms,2.834320610332638
56,r1_quadratic,2.1658436764816
56,r2_mean,5.91558079682661
56,r3_median,2.5127083912211132
56,r4_capped_median,2.8803944220475133
57,majoritarian_moving_phantoms,3.5606938916249247
57,r1_quadratic,2.256192658585471
57,r2_mean,5.926860066024432
57,r3_median,2.9231105270035065
57,r4_capped_median,3.0430719712455856
58,majoritarian_moving_phantoms,3.5029146762786856
58,r1_quadratic,1.991835851261929
58,r2_mean,5.864972688630688
58,r3_median,2.978693082772578
58,r4_capped_median,2.9287260182450554
59,majoritarian_moving_phantoms,3.257982701148779
59,r1_quadratic,2.042502826131085
59,r2_mean,5.898226574731968
59,r3_median,2.3279646202936153
59,r4_capped_median,2.193837169090644
60,majoritarian_moving_phantoms,2.7032549877613983
60,r1_quadratic,2.010603342193698
60,r2_mean,5.872195350690076
60,r3_median,3.644379811448709
60,r4_capped_median,3.7139968175098588
61,majoritarian_moving_phantoms,6.863537863232802
61,r1_quadratic,2.057905457732749
61,r2_mean,5.923353215693949
61,r3_median,2.044107432725448
61,r4_capped_median,2.081169563083069
62,majoritarian_moving_phantoms,2.5971466760224144
62,r1_quadratic,2.0111653474699906
62,r2_mean,5.857782649083376
62,r3_median,3.7914740769029485
62,r4_capped_median,3.8209103821901396
63,majoritarian_moving_phantoms,3.0928998555147658
63,r1_quadratic,2.002702585577257
63,r2_mean,5.894187255690529
63,r3_median,3.022043291164046
63,r4_capped_median,2.7751861477904054
64,majoritarian_moving_phantoms,2.618291243416968
64,r1_quadratic,2.0794380174605207
64,r2_mean,5.932437669194924
64,r3_median,3.3039981118876725
64,r4_capped_median,3.477771288375284
65,majoritarian_moving_phantoms,4.660186040852322
65,r1_quadratic,2.024516873329134
65,r2_mean,5.909784024897192
65,r3_median,3.9621115356438725
65,r4_capped_median,3.2227148563546435
66,majoritarian_moving_phantoms,2.2853486525672877
66,r1_quadratic,2.027659210174786
66,r2_mean,5.896160415497227
66,r3_median,2.796425467395928
66,r4_capped_median,3.0503843829219983
67,majoritarian_moving_phantoms,3.4534049656999226
67,r1_quadratic,2.058705980152762
67,r2_mean,5.924542052699772
67,r3_median,2.4473696447466473
67,r4_capped_median,2.5409022745891097
68,majoritarian_moving_phantoms,2.161943835574408
68,r1_quadratic,2.108992602208424
68,r2_mean,5.920586080031676
68,r3_median,3.6721217312698884
68,r4_capped_median,3.7961379444167043
69,majoritarian_moving_phantoms,2.2318595357544426
69,r1_quadratic,2.12499297044047
69,r2_mean,5.91180710303373
69,r3_median,2.6501744895020853
69,r4_capped_median,2.581472755556522
70,majoritarian_moving_phantoms,3.044621711092792
70,r1_quadratic,2.03798514758308
70,r2_mean,5.9206068226914415
70,r3_median,2.87911671229921
70,r4_capped_median,2.79578064512632
71,majoritarian_moving_phantoms,3.669041210514721
71,r1_quadratic,2.1809618083847395
71,r2_mean,5.9279102358255376
71,r3_median,3.3163609653526573
71,r4_capped_median,3.76543278961528
72,majoritarian_moving_phantoms,2.875162669199441
72,r1_quadratic,1.9806638588439567
72,r2_mean,5.847850794732948
72,r3_median,2.517200289912659
72,r4_capped_median,2.5504022931390353
73,majoritarian_moving_phantoms,2.6526899462506446
73,r1_quadratic,2.1167344985087775
73,r2_mean,5.934555244713972
73,r3_median,3.922237106364744
73,r4_capped_median,3.0079400703644987
74,majoritarian_moving_phantoms,5.137018794318722
74,r1_quadratic,2.1321154719636146
74,r2_mean,5.906444693684544
74,r3_median,3.558928388745056
74,r4_capped_median,2.982823855379267
75,majoritarian_moving_phantoms,3.067645067813597
75,r1_quadratic,2.083371251972305
75,r2_mean,5.905376959727738
75,r3_median,2.9913402167254213
75,r4_capped_median,3.313685579771876
76,majoritarian_moving_phantoms,2.5388696449990493
76,r1_quadratic,1.9419796523331603
76,r2_mean,5.861501111411692
76,r3_median,2.888466968551866
76,r4_capped_median,1.9960002511664603
77,majoritarian_moving_phantoms,2.957769603079937
77,r1_quadratic,2.0234228526734226
77,r2_mean,5.8842333180872455
77,r3_median,2.4225709697553652
77,r4_capped_median,2.1846392377901167
78,majoritarian_moving_phantoms,3.2679949789994422
78,r1_quadratic,2.0224882779985744
78,r2_mean,5.871125752601972
78,r3_median,2.796553291822228
78,r4_capped_median,2.9765739351908156
79,majoritarian_moving_phantoms,3.184464784213828
79,r1_quadratic,1.9733471020002273
79,r2_mean,5.881617593859046
79,r3_median,3.141818859005117
79,r4_capped_median,3.427504081655515
80,majoritarian_moving_phantoms,3.616058206290106
80,r1_quadratic,1.9787475825003866
80,r2_mean,5.864292614056195
80,r3_median,2.9209065432063985
80,r4_capped_median,2.824299745159865
81,majoritarian_moving_phantoms,2.959865335229985
81,r1_quadratic,1.9642640245702228
81,r2_mean,5.862071530928655
81,r3_median,2.5260301105863867
81,r4_capped_median,2.677557225492544
82,majoritarian_moving_phantoms,2.4367187210747967
82,r1_quadratic,1.956650842171666
82,r2_mean,5.8621090443906905
82,r3_median,2.7641304485175167
82,r4_capped_median,2.544543387972859
83,majoritarian_moving_phantoms,3.3374232827154398
83,r1_quadratic,2.139422088823291
83,r2_mean,5.937360230453845
83,r3_median,2.3663119719531935
83,r4_capped_median,2.2551065772533074
84,majoritarian_moving_phantoms,2.959066722064715
84,r1_quadratic,2.1563703647633026
84,r2_mean,5.925482684128603
84,r3_median,3.6359336505132207
84,r4_capped_median,3.8210105660214078
85,majoritarian_moving_phantoms,3.157307463810411
85,r1_quadratic,2.065269343278003
85,r2_mean,5.916981308430898
85,r3_median,2.961383765809848
85,r4_capped_median,3.583441635835909
86,majoritarian_moving_phantoms,3.9356481944186332
86,r1_quadratic,2.0927087560155044
86,r2_mean,5.889024446030824
86,r3_median,2.7815102355693497
86,r4_capped_median,2.171026264169644
87,majoritarian_moving_phantoms,1.8765716865821012
87,r1_quadratic,1.9961297770966129
87,r2_mean,5.915940971797925
87,r3_median,3.171953332288047
87,r4_capped_median,3.0705139925864295
88,majoritarian_moving_phantoms,4.067529511627603
88,r1_quadratic,1.958054377171966
88,r2_mean,5.8562720079507065
88,r3_median,3.3358523406224125
88,r4_capped_median,2.9741571258081176
89,majoritarian_moving_phantoms,3.868765810805141
89,r1_quadratic,1.9072467503274273
89,r2_mean,5.833222961885891
89,r3_median,2.8344104609126965
89,r4_capped_median,2.3287760521834926
90,majoritarian_moving_phantoms,3.686627750078692
90,r1_quadratic,1.932897707161523
90,r2_mean,5.853436198505321
90,r3_median,2.0270597343725743
90,r4_capped_median,2.045620359647358
91,majoritarian_moving_phantoms,4.063700597576018
91,r1_quadratic,2.1262998276220633
91,r2_mean,5.898820993946962
91,r3_median,3.4375284308844396
91,r4_capped_median,3.6290693561524616
92,majoritarian_moving_phantoms,2.2316222368704404
92,r1_quadratic,2.0860518169170454
92,r2_mean,5.901995323929888
92,r3_median,2.747419298362907
92,r4_capped_median,2.8674271127317823
93,majoritarian_moving_phantoms,1.8365348676082769
93,r1_quadratic,1.999565598391206
93,r2_mean,5.907103793804701
93,r3_median,3.4549830413473863
93,r4_capped_median,3.0212439207603805
94,majoritarian_moving_phantoms,3.498581045498478
94,r1_quadratic,1.9426111494084544
94,r2_mean,5.857445956737722
94,r3_median,2.813062112915844
94,r4_capped_median,2.625624541658104
95,majoritarian_moving_phantoms,2.991318984175234
95,r1_quadratic,2.033847511777014
95,r2_mean,5.921458246776876
95,r3_median,2.887104541001677
95,r4_capped_median,3.142253381722987
96,majoritarian_moving_phantoms,2.72759642467873
96,r1_quadratic,2.0980053002286705
96,r2_mean,5.932951844891232
96,r3_median,2.9749011560848118
96,r4_capped_median,2.8829432417985696
97,majoritarian_moving_phantoms,2.443220428005063
97,r1_quadratic,2.075002643844525
97,r2_mean,5.921464099492258
97,r3_median,2.3034576807343026
97,r4_capped_median,2.537989984903334
98,majoritarian_moving_phantoms,3.018181461565836
98,r1_quadratic,2.1050842026913603
98,r2_mean,5.912949452002692
98,r3_median,3.100889580780229
98,r4_capped_median,3.132836903176961
99,majoritarian_moving_phantoms,2.75738079723369
99,r1_quadratic,2.0487342751399105
99,r2_mean,5.914664034811003
99,r3_median,2.602274368701508
99,r4_capped_median,2.9427386920206255
100,majoritarian_moving_phantoms,2.58031661553372
100,r1_quadratic,1.9562004660946726
100,r2_mean,5.8721553949006395
100,r3_median,2.9255233492910953
100,r4_capped_median,2.5736006460787664
