round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,2977368.33104738,3336101.691838139,2933052.123999908,2977368.33104738,2977368.33104738
2,2971089.6011969387,3440485.6259389874,2922270.5555311632,2971089.6011969387,2971089.6011969387
3,2955733.4388945596,3363980.480646613,2912196.304459785,2955733.4388945596,2955733.4388945596
4,2962397.2334919786,3345307.0404510335,2921276.778113265,2962397.2334919786,2962397.2334919786
5,2967875.3864746345,3355139.6445963765,2926169.491120862,2967875.3864746345,2967875.3864746345
6,2971486.0208279206,3348702.3031067383,2928819.3983671586,2971486.0208279206,2971486.0208279206
7,2958250.6278399574,3313869.0184463277,2920571.9473734875,2958250.6278399574,2958250.6278399574
8,2971904.748458554,3392626.366418061,2928943.1900073667,2971904.748458554,2971904.748458554
9,2981013.809608742,3321076.3262724467,2939842.093438892,2981013.809608741,2981013.809608742
10,2968263.710955968,3311954.6907838066,2929148.8848594646,2968263.710955968,2968263.710955968
11,2957936.757272707,3327869.8524743663,2919579.147319233,2957936.757272707,2957936.757272707
12,2947720.10236744,3294772.5220349045,2912523.866844173,2947720.10236744,2947720.10236744
13,2976392.807682739,3353296.674375298,2935496.667183431,2976392.807682739,2976392.807682739
14,2966912.8373167478,3358139.603399156,2922941.04027865,2966912.8373167487,2966912.8373167478
15,2977901.453399905,3406332.199934393,2935549.819542849,2977901.4533999036,2977901.453399905
16,2956342.2001756476,3352424.55444158,2915038.3177370494,2956342.200175647,2956342.2001756476
17,2958383.6911868,3355203.9666665797,2918655.292464611,2958383.6911868,2958383.6911868
18,2972207.323693695,3387926.74575585,2924369.315129459,2972207.323693695,2972207.323693695
19,2966681.8586064233,3325173.710136466,2929221.484549761,2966681.8586064233,2966681.8586064233
20,2959295.667975156,3353370.641784941,2919587.4357528174,2959295.6679751556,2959295.667975156
21,2985134.0421835487,3402784.4211458843,2937989.2969178124,2985134.04218355,2985134.0421835487
22,2985686.2541015293,3358202.9258049433,2943275.892068271,2985686.2541015293,2985686.2541015293
23,2969882.8626294453,3393685.6349688484,2925206.1578645827,2969882.8626294453,2969882.8626294453
24,2968846.562624399,3348441.0480413097,2927139.7576372745,2968846.562624399,2968846.562624399
25,2977777.677892102,3422568.645753709,2926550.8469088273,2977777.677892102,2977777.677892102
26,2962121.448481214,3294150.7745055635,2925481.990902165,2962121.448481214,2962121.448481214
27,2972781.3326857984,3318046.838429774,2931229.1716431365,2972781.3326857984,2972781.3326857984
28,2964008.542702819,3364407.8531362074,2920238.824180249,2964008.542702819,2964008.542702819
29,2960889.4816264785,3329448.0086495443,2921019.8626775015,2960889.4816264785,2960889.4816264785
30,2979463.989033245,3345318.553423426,2944263.78272572,2979463.989033245,2979463.989033245
31,2979525.202965918,3400828.95922728,2932806.8449335885,2979525.202965918,2979525.202965918
32,2968416.7565120156,3347779.56913156,2925323.5545604313,2968416.7565120156,2968416.7565120156
33,2975434.9634252246,3412214.464661836,2928046.7699829848,2975434.9634252237,2975434.9634252246
34,2968061.2895348966,3373852.1593637173,2924692.8232595664,2968061.2895348966,2968061.2895348966
35,2959584.647618443,3325736.739747178,2921046.543655233,2959584.647618443,2959584.647618443
36,2971558.0544359344,3377217.6096900874,2926732.349002763,2971558.0544359344,2971558.0544359344
37,2960250.2282746052,3431081.0610505324,2919232.159468184,2960250.228274605,2960250.2282746052
38,2973392.3508358253,3370313.364166419,2929877.3595340913,2973392.350835826,2973392.3508358253
39,2957505.7365471656,3336415.1735553266,2917329.6786370105,2957505.7365471656,2957505.7365471656
40,2972055.3205462634,3370031.882888841,2930036.3639898873,2972055.3205462634,2972055.3205462634
41,2974986.24928002,3378472.0886140764,2931879.208346375,2974986.24928002,2974986.24928002
42,2956757.9895410025,3293337.503671245,2917977.4132800605,2956757.9895410025,2956757.9895410025
43,2959677.621045751,3307899.6753471517,2920492.589298985,2959677.621045751,2959677.621045751
44,2952917.270897122,3321330.625814104,2916158.2948637074,2952917.270897122,2952917.270897122
45,2971977.0639535524,3328986.679482192,2932842.487927756,2971977.0639535524,2971977.0639535524
46,2959697.0156394746,3381370.609601123,2915244.904681959,2959697.0156394746,2959697.0156394746
47,2966605.6553507214,3374902.843594193,2923050.826788617,2966605.6553507214,2966605.6553507214
48,2970096.870163841,3366429.251305353,2928101.859011631,2970096.870163841,2970096.870163841
49,2958760.034510941,3296204.544536375,2924219.3942759316,2958760.034510941,2958760.034510941
50,2957366.0958736353,3397290.0280634533,2913261.160393762,2957366.0958736353,2957366.0958736353
51,2967056.154744425,3376916.5406863284,2926962.1710508163,2967056.1547444253,2967056.154744425
52,2959820.274525048,3388531.7818911225,2915641.123762486,2959820.274525048,2959820.274525048
53,2965432.505680486,3310139.8404854243,2926330.5291903364,2965432.505680486,2965432.505680486
54,2956911.099601006,3326338.332684345,2922081.004381157,2956911.099601006,2956911.099601006
55,2965414.79194117,3386930.463268539,2923039.282297673,2965414.79194117,2965414.79194117
56,2988280.918349633,3421042.5392846214,2939943.6949878447,2988280.918349633,2988280.918349633
57,2954954.434681871,3280538.665039803,2917619.1977685182,2954954.434681871,2954954.434681871
58,2960114.7731617037,3369997.4908121848,2918029.0809632093,2960114.7731617037,2960114.7731617037
59,2969905.728357503,3402178.088487176,2923541.245598602,2969905.728357503,2969905.728357503
60,2972959.978944578,3317500.396589827,2927888.582071936,2972959.978944579,2972959.978944578
61,2978550.988016469,3433485.9797792397,2932384.6397829317,2978550.988016469,2978550.988016469
62,2973010.6860359143,3406437.0496060653,2926720.574736239,2973010.6860359143,2973010.6860359143
63,2987385.4536277517,3370880.1358004655,2941563.556068727,2987385.4536277517,2987385.4536277517
64,2971892.6060576295,3382763.1263094693,2930911.104435089,2971892.6060576295,2971892.6060576295
65,2961575.925560928,3338254.424903288,2920329.6241068966,2961575.925560928,2961575.925560928
66,2968664.1622998687,3351306.7041782006,2930312.6179974214,2968664.1622998687,2968664.1622998687
67,2966608.6884365245,3319889.0483741774,2929460.5255278237,2966608.6884365245,2966608.6884365245
68,2969467.706492251,3371121.418801301,2926239.4799341736,2969467.7064922517,2969467.706492251
69,2973264.750803873,3322325.5265990887,2933409.3486786974,2973264.750803873,2973264.750803873
70,2980415.9980240855,3385344.824542858,2934910.6943471134,2980415.9980240855,2980415.9980240855
71,2933969.248343037,3294249.0753611755,2897291.770169326,2933969.248343037,2933969.248343037
72,2956323.1253880793,3308516.431598278,2922676.670055187,2956323.1253880803,2956323.1253880793
73,2962262.5992653216,3368813.266100022,2920466.846351632,2962262.5992653216,2962262.5992653216
74,2974807.705015971,3358536.0807822663,2932813.962588732,2974807.705015971,2974807.705015971
75,2959960.8526350833,3317667.3828020464,2921433.7244597566,2959960.8526350833,2959960.8526350833
76,2964708.429029064,3302045.4512307127,2926163.2140878355,2964708.429029064,2964708.429029064
77,2974473.345904485,3371031.3015195937,2931317.853723793,2974473.345904485,2974473.345904485
78,2980515.0364414323,3366881.9919317774,2937262.746004068,2980515.0364414323,2980515.0364414323
79,2975309.870009771,3307978.560016051,2937938.340036546,2975309.8700097715,2975309.870009771
80,2970897.831203382,3338727.5424062368,2929883.9645628124,2970897.831203382,2970897.831203382
81,2960260.656038853,3350979.459399342,2918744.8519618236,2960260.6560388524,2960260.656038853
82,2990059.8679869086,3469281.903008863,2940254.387235449,2990059.8679869086,2990059.8679869086
83,2975129.6532216687,3333232.222873085,2933364.091334389,2975129.6532216687,2975129.6532216687
84,2972975.2969214595,3339608.1223515216,2934550.4767981893,2972975.2969214595,2972975.2969214595
85,2972496.666587725,3369883.9772547223,2929399.681933014,2972496.666587725,2972496.666587725
86,2957358.6552182473,3372974.953122614,2918796.280197105,2957358.6552182473,2957358.6552182473
87,2954497.080819215,3287389.796072551,2918898.2155860835,2954497.080819215,2954497.080819215
88,2973278.557198407,3345638.728804456,2932104.339079293,2973278.557198407,2973278.557198407
89,2967329.861378295,3335833.705490987,2925638.8784868694,2967329.861378295,2967329.861378295
90,2953282.9994905484,3416998.9955265163,2906816.6217194065,2953282.9994905484,2953282.9994905484
91,2971904.201302182,3435776.6205815165,2927380.896881672,2971904.201302182,2971904.201302182
92,2955893.711626511,3356135.061290079,2916732.9787676632,2955893.711626511,2955893.711626511
93,2949095.912297002,3332563.729945477,2908037.6960348757,2949095.912297002,2949095.912297002
94,2966419.0709029357,3316455.297528758,2925993.843127153,2966419.0709029357,2966419.0709029357
95,2974203.2247727797,3393410.1625982802,2928484.134752761,2974203.2247727797,2974203.2247727797
96,2955016.184237129,3334390.521135878,2916823.7415591343,2955016.1842371295,2955016.184237129
97,2961321.8597284164,3336495.884398134,2922972.605431273,2961321.8597284164,2961321.8597284164
98,2952236.1039561476,3329647.434258399,2911879.630495799,2952236.1039561476,2952236.1039561476
99,2987282.621062737,3394605.1884699166,2940254.680831033,2987282.621062737,2987282.621062737
100,2948702.8038516534,3370692.6164169507,2903533.928385252,2948702.8038516534,2948702.8038516534
