round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
2,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
3,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
4,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
5,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
6,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
7,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
8,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
9,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
10,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
11,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
12,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
13,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
14,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
15,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
16,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
17,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
18,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
19,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
20,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
21,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
22,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
23,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
24,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
25,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
26,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
27,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
28,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
29,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
30,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
31,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
32,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
33,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
34,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
35,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
36,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
37,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
38,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
39,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
40,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
41,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
42,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
43,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
44,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
45,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
46,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
47,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
48,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
49,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
50,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
51,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
52,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
53,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
54,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
55,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
56,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
57,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
58,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
59,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
60,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
61,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
62,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
63,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
64,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
65,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
66,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
67,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
68,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
69,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
70,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
71,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
72,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
73,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
74,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
75,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
76,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
77,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
78,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
79,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
80,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
81,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
82,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
83,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
84,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
85,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
86,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
87,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
88,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
89,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
90,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
91,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
92,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
93,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
94,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
95,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
96,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
97,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
98,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
99,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
100,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
